[INFO ] [2023-04-07 22:35:38,033] Register - Step 01: Navigate to Register page
[INFO ] [2023-04-07 22:35:39,448] Register - Step 02: Enter to firstname textbox with value isAutomation'
[INFO ] [2023-04-07 22:35:39,608] Register - Step 03: Enter to lastname textbox with value isFC'
[INFO ] [2023-04-07 22:35:39,713] Register - Step 04: Enter to emailAddress textbox with value isautomationtesting84221@gmail.comm'
[INFO ] [2023-04-07 22:35:39,921] Register - Step 05: Enter to password textbox with value is123456x'
[INFO ] [2023-04-07 22:35:40,024] Register - Step 06: Enter to confirm password textbox with value is123456x'
[INFO ] [2023-04-07 22:35:40,276] Register - Step 07: Click to register button
[INFO ] [2023-04-07 22:35:41,311] Register - Step 08: Verify register success message display 
[INFO ] [2023-04-07 22:35:41,435] Login - Step 01: Navigate to login page 
[INFO ] [2023-04-07 22:35:41,964] Login - Step 02: enter to email textbox with value isautomationtesting84221@gmail.comm'
[INFO ] [2023-04-07 22:35:42,176] Login - Step 03: enter to password textbox with value is123456x'
[INFO ] [2023-04-07 22:35:42,282] Login - Step 04: Click to login button
[INFO ] [2023-04-07 22:35:43,140] Login - Step 05: Verify logout button is displayed
[INFO ] [2023-04-07 22:38:40,239] Register - Step 01: Navigate to Register page
[INFO ] [2023-04-07 22:38:41,998] Register - Step 02: Enter to firstname textbox with value isAutomation'
[INFO ] [2023-04-07 22:38:42,131] Register - Step 03: Enter to lastname textbox with value isFC'
[INFO ] [2023-04-07 22:38:42,214] Register - Step 04: Enter to emailAddress textbox with value isautomationtesting2052@gmail.comm'
[INFO ] [2023-04-07 22:38:42,313] Register - Step 05: Enter to password textbox with value is123456x'
[INFO ] [2023-04-07 22:38:42,390] Register - Step 06: Enter to confirm password textbox with value is123456x'
[INFO ] [2023-04-07 22:38:42,476] Register - Step 07: Click to register button
[INFO ] [2023-04-07 22:38:43,523] Register - Step 08: Verify register success message display 
[INFO ] [2023-04-07 22:38:43,621] Login - Step 01: Navigate to login page 
[INFO ] [2023-04-07 22:38:44,132] Login - Step 02: enter to email textbox with value isautomationtesting2052@gmail.comm'
[INFO ] [2023-04-07 22:38:44,306] Login - Step 03: enter to password textbox with value is123456x'
[INFO ] [2023-04-07 22:38:44,399] Login - Step 04: Click to login button
[INFO ] [2023-04-07 22:38:45,249] Login - Step 05: Verify logout button is displayed
[INFO ] [2023-04-07 22:50:19,799] Register - Step 01: Navigate to Register page
[INFO ] [2023-04-07 22:50:21,521] Register - Step 02: Enter to firstname textbox with value isAutomation'
[INFO ] [2023-04-07 22:50:22,551] Register - Step 03: Enter to lastname textbox with value isFC'
[INFO ] [2023-04-07 22:50:22,827] Register - Step 04: Enter to emailAddress textbox with value isautomationtesting10351@gmail.comm'
[INFO ] [2023-04-07 22:50:22,970] Register - Step 05: Enter to password textbox with value is123456x'
[INFO ] [2023-04-07 22:50:23,074] Register - Step 06: Enter to confirm password textbox with value is123456x'
[INFO ] [2023-04-07 22:50:23,185] Register - Step 07: Click to register button
[INFO ] [2023-04-07 22:50:23,995] Register - Step 08: Verify register success message display 
[INFO ] [2023-04-07 22:50:24,103] Login - Step 01: Navigate to login page 
[INFO ] [2023-04-07 22:50:24,613] Login - Step 02: enter to email textbox with value isautomationtesting10351@gmail.comm'
[INFO ] [2023-04-07 22:50:24,808] Login - Step 03: enter to password textbox with value is123456x'
[INFO ] [2023-04-07 22:50:24,915] Login - Step 04: Click to login button
[INFO ] [2023-04-07 22:50:25,715] Login - Step 05: Verify logout button is displayed
